Team;AgentID;Day;Shift;Experience;CallsHandled;AvgCallDuration;EscalationRate;FCRRate;CSATScore;OvertimeHours;CostPerCall;CostCategory
Team A;Agent_4;Tuesday;Morning;6+ months;30;8.12;0.07;0.79;3.96;1;29.18;High
Team A;Agent_4;Tuesday;Afternoon;0-3 months;43;7.03;0.07;0.76;3.9;3;31.54;High
Team A;Agent_4;Tuesday;Evening;0-3 months;45;5.98;0.17;0.64;4.06;0;23.97;Low
Team A;Agent_4;Wednesday;Morning;3-6 months;34;5.07;0.14;0.79;3.52;2;26.6;Low
Team A;Agent_4;Wednesday;Afternoon;3-6 months;34;6.97;0.14;0.89;4.63;1;27.46;Low
Team A;Agent_4;Wednesday;Evening;6+ months;41;7.54;0.07;0.76;4.1;0;26.31;Low
Team A;Agent_4;Thursday;Morning;6+ months;32;6.5;0.05;0.79;3.78;0;24.75;Low
Team A;Agent_4;Thursday;Afternoon;0-3 months;79;7.06;0.22;0.76;3.91;2;29.59;High
Team A;Agent_4;Thursday;Evening;0-3 months;63;5.97;0.22;0.69;4.72;0;23.96;Low
Team A;Agent_4;Friday;Morning;3-6 months;65;4.28;0.04;0.86;4.55;3;27.42;Low
Team A;Agent_4;Friday;Afternoon;3-6 months;47;6.49;0.13;0.83;3.81;1;26.74;Low
Team A;Agent_4;Friday;Evening;6+ months;64;4.47;0.03;0.83;4.16;2;25.7;Low
Team A;Agent_5;Monday;Morning;3-6 months;48;6.32;0.14;0.84;4.32;0;24.48;Low
Team A;Agent_5;Monday;Afternoon;0-3 months;54;5.87;0.19;0.78;4.73;1;25.8;Low
Team A;Agent_5;Monday;Evening;0-3 months;71;7.81;0.29;0.77;4.59;2;30.72;High
Team A;Agent_5;Tuesday;Morning;6+ months;75;6.4;0.11;0.76;4.57;1;26.6;Low
Team A;Agent_5;Tuesday;Afternoon;0-3 months;66;6.45;0.27;0.88;3.81;2;28.68;High
Team A;Agent_5;Tuesday;Evening;3-6 months;65;4.54;0.07;0.62;4.51;0;21.81;Low
Team A;Agent_5;Wednesday;Morning;3-6 months;55;5.28;0.05;0.81;4.24;1;24.92;Low
Team A;Agent_5;Wednesday;Afternoon;6+ months;70;4.12;0.12;0.85;3.81;0;21.18;Low
Team A;Agent_5;Wednesday;Evening;3-6 months;54;5.66;0.15;0.6;4.76;0;23.49;Low
Team A;Agent_5;Thursday;Morning;6+ months;50;6.46;0.15;0.76;4.22;3;30.69;High
Team A;Agent_5;Thursday;Afternoon;3-6 months;70;5.3;0.15;0.85;4;1;24.95;Low
Team A;Agent_5;Thursday;Evening;6+ months;39;5.03;0.14;0.82;4.09;1;24.54;Low
Team A;Agent_5;Friday;Morning;0-3 months;57;4.79;0.11;0.79;3.97;0;22.18;Low
Team A;Agent_5;Friday;Afternoon;3-6 months;46;7.59;0.06;0.81;4.28;0;26.38;Low
Team A;Agent_5;Friday;Evening;0-3 months;64;6.74;0.15;0.83;4.63;0;25.11;Low
Team A;Agent_6;Monday;Morning;0-3 months;62;7.48;0.24;0.82;4.78;0;26.22;Low
Team A;Agent_6;Monday;Afternoon;6+ months;54;5.89;0.07;0.79;3.57;2;27.84;High
Team A;Agent_6;Monday;Evening;6+ months;60;7.24;0.12;0.83;4.26;1;27.86;High
Team A;Agent_6;Tuesday;Morning;6+ months;48;5.69;0.04;0.89;4.29;0;23.54;Low
Team A;Agent_6;Tuesday;Afternoon;3-6 months;61;4.4;0.03;0.79;3.53;0;21.6;Low
Team A;Agent_6;Tuesday;Evening;3-6 months;32;7.18;0.09;0.74;4.64;0;25.77;Low
Team A;Agent_6;Wednesday;Morning;0-3 months;76;6.07;0.16;0.87;4.33;2;28.1;High
Team A;Agent_6;Wednesday;Afternoon;6+ months;63;7.06;0.07;0.82;4.68;0;25.59;Low
Team A;Agent_6;Wednesday;Evening;3-6 months;53;4.24;0.14;0.67;4.18;1;23.36;Low
Team A;Agent_6;Thursday;Morning;6+ months;39;5.99;0.05;0.82;4.77;0;23.98;Low
Team A;Agent_6;Thursday;Afternoon;3-6 months;72;6.8;0.1;0.8;4.2;0;25.2;Low
Team A;Agent_6;Thursday;Evening;3-6 months;40;6.37;0.04;0.69;4.67;0;24.56;Low
Team A;Agent_6;Friday;Morning;3-6 months;79;5.06;0.1;0.78;4.57;0;22.59;Low
Team A;Agent_6;Friday;Afternoon;3-6 months;51;4.57;0.07;0.83;4.4;0;21.86;Low
Team A;Agent_6;Friday;Evening;6+ months;51;5.81;0.03;0.82;4.7;0;23.72;Low
Team A;Agent_7;Monday;Morning;0-3 months;30;6.18;0.3;0.83;4.7;0;24.27;Low
Team A;Agent_7;Monday;Afternoon;6+ months;43;5.22;0.08;0.86;3.55;0;22.83;Low
Team A;Agent_7;Monday;Evening;6+ months;76;6.47;0.02;0.82;3.96;0;24.7;Low
Team A;Agent_7;Tuesday;Morning;0-3 months;66;6.65;0.1;0.83;4.59;0;24.98;Low
Team A;Agent_7;Tuesday;Afternoon;3-6 months;54;6.22;0.11;0.87;4.15;0;24.33;Low
Team A;Agent_7;Tuesday;Evening;3-6 months;63;6.91;0.09;0.75;4.23;0;25.36;Low
Team A;Agent_7;Wednesday;Morning;3-6 months;55;4.58;0.08;0.8;4.71;0;21.87;Low
Team A;Agent_7;Wednesday;Afternoon;0-3 months;35;6.6;0.11;0.77;3.74;0;24.9;Low
Team A;Agent_7;Wednesday;Evening;0-3 months;38;6.05;0.15;0.85;3.65;0;24.08;Low
Team A;Agent_7;Thursday;Morning;6+ months;33;5.17;0.02;0.9;4.14;1;24.76;Low
Team A;Agent_7;Thursday;Afternoon;6+ months;31;8.04;0.06;0.87;3.74;0;27.06;Low
Team A;Agent_7;Thursday;Evening;3-6 months;62;7.62;0.12;0.73;4.42;1;28.43;High
Team A;Agent_7;Friday;Morning;0-3 months;40;5.8;0.2;0.81;4.09;0;23.7;Low
Team A;Agent_7;Friday;Afternoon;3-6 months;31;6.48;0.06;0.87;3.83;1;26.72;Low
Team A;Agent_7;Friday;Evening;6+ months;40;8.39;0.12;0.63;4.61;1;29.58;High
Team A;Agent_8;Monday;Morning;3-6 months;40;5.4;0.14;0.78;3.59;1;25.1;Low
Team A;Agent_8;Monday;Afternoon;3-6 months;58;6.34;0.05;0.77;3.71;2;28.51;High
Team A;Agent_8;Monday;Evening;3-6 months;55;5.59;0.14;0.68;4.26;1;25.38;Low
Team A;Agent_8;Tuesday;Morning;3-6 months;69;5.32;0.06;0.86;4.15;0;22.98;Low
Team A;Agent_8;Tuesday;Afternoon;6+ months;31;3.77;0.09;0.89;4.31;0;20.66;Low
Team A;Agent_8;Tuesday;Evening;6+ months;36;6.92;0.04;0.82;4.14;1;27.38;Low
Team A;Agent_8;Wednesday;Morning;3-6 months;58;7.09;0.04;0.8;3.82;1;27.64;Low
Team A;Agent_8;Wednesday;Afternoon;0-3 months;51;5.95;0.24;0.77;4.2;0;23.92;Low
Team A;Agent_8;Wednesday;Evening;3-6 months;44;7.84;0.12;0.64;3.8;1;28.76;High
Team A;Agent_8;Thursday;Morning;6+ months;60;7.33;0.11;0.84;4.57;3;32;High
Team A;Agent_8;Thursday;Afternoon;3-6 months;35;8;0.07;0.82;4.73;0;27;Low
Team A;Agent_8;Thursday;Evening;3-6 months;47;5.8;0.13;0.83;4.23;1;25.7;Low
Team A;Agent_8;Friday;Morning;6+ months;37;6.05;0.1;0.87;3.99;0;24.08;Low
Team A;Agent_8;Friday;Afternoon;0-3 months;43;5.01;0.3;0.88;3.66;2;26.52;Low
Team A;Agent_8;Friday;Evening;6+ months;69;5.87;0.1;0.69;4.47;0;23.8;Low
Team A;Agent_9;Monday;Morning;6+ months;55;4.99;0.09;0.89;3.95;0;22.48;Low
Team A;Agent_9;Monday;Afternoon;6+ months;46;4.35;0.1;0.75;4.69;0;21.52;Low
Team A;Agent_9;Monday;Evening;3-6 months;35;5.28;0.05;0.65;4.17;3;28.92;High
Team A;Agent_9;Tuesday;Morning;3-6 months;49;6.91;0.07;0.76;4.8;0;25.36;Low
Team A;Agent_9;Tuesday;Afternoon;3-6 months;42;4.64;0.12;0.8;4.11;1;23.96;Low
Team A;Agent_9;Tuesday;Evening;3-6 months;45;4.09;0.09;0.62;4.51;0;21.14;Low
Team A;Agent_9;Wednesday;Morning;3-6 months;57;5.44;0.12;0.77;3.93;0;23.16;Low
Team A;Agent_9;Wednesday;Afternoon;6+ months;39;2.43;0.06;0.85;4.03;0;18.64;Low
Team A;Agent_9;Wednesday;Evening;0-3 months;79;5.74;0.19;0.66;3.75;0;23.61;Low
Team A;Agent_9;Thursday;Morning;3-6 months;76;7.02;0.09;0.88;4.22;1;27.53;Low
Team A;Agent_9;Thursday;Afternoon;6+ months;53;6.71;0.13;0.81;4.37;0;25.06;Low
Team A;Agent_9;Thursday;Evening;0-3 months;77;6.44;0.07;0.76;4.46;2;28.66;High
Team A;Agent_9;Friday;Morning;0-3 months;48;4.33;0.27;0.87;3.94;0;21.5;Low
Team A;Agent_9;Friday;Afternoon;3-6 months;52;7.76;0.02;0.87;3.95;1;28.64;High
Team A;Agent_9;Friday;Evening;3-6 months;73;5.64;0.09;0.85;4.11;0;23.46;Low
Team A;Agent_10;Monday;Morning;3-6 months;46;6.26;0.05;0.83;4.32;0;24.39;Low
Team A;Agent_10;Monday;Afternoon;0-3 months;72;4.96;0.28;0.85;4.39;2;26.44;Low
Team A;Agent_10;Monday;Evening;3-6 months;71;5.78;0.09;0.67;4.22;1;25.67;Low
Team A;Agent_10;Tuesday;Morning;6+ months;52;5.1;0.12;0.79;4.32;0;22.65;Low
Team A;Agent_10;Tuesday;Afternoon;3-6 months;46;5.09;0.07;0.81;4.17;0;22.64;Low
Team A;Agent_10;Tuesday;Evening;0-3 months;72;5.77;0.28;0.78;4.29;2;27.66;Low
Team A;Agent_10;Wednesday;Morning;3-6 months;53;7.21;0.14;0.86;3.78;0;25.82;Low
Team A;Agent_10;Wednesday;Afternoon;0-3 months;64;6.24;0.29;0.77;4.31;0;24.36;Low
Team A;Agent_10;Wednesday;Evening;3-6 months;69;6.23;0.11;0.72;4.39;0;24.34;Low
Team A;Agent_10;Thursday;Morning;0-3 months;32;5.69;0.25;0.89;4.53;1;25.54;Low
Team A;Agent_10;Thursday;Afternoon;3-6 months;41;5.34;0.09;0.88;4.45;2;27.01;Low
Team A;Agent_10;Thursday;Evening;3-6 months;45;5.55;0.08;0.66;4.78;2;27.32;Low
Team A;Agent_10;Friday;Morning;0-3 months;39;6.63;0.2;0.9;4.22;0;24.94;Low
Team A;Agent_10;Friday;Afternoon;3-6 months;44;4.92;0.14;0.9;4.73;0;22.38;Low
Team A;Agent_10;Friday;Evening;6+ months;68;7.05;0.08;0.73;4.34;1;27.58;Low
Team B;Agent_1;Monday;Morning;3-6 months;73;6.46;0.11;0.76;3.91;0;24.69;Low
Team B;Agent_1;Monday;Afternoon;6+ months;54;8.78;0.12;0.83;4.05;2;32.17;High
Team B;Agent_1;Monday;Evening;3-6 months;64;7.58;0.14;0.8;4.8;0;26.37;Low
Team B;Agent_1;Tuesday;Morning;6+ months;58;8.57;0.02;0.82;4.25;0;27.86;High
Team B;Agent_1;Tuesday;Afternoon;3-6 months;59;5.82;0.12;0.79;3.64;0;23.73;Low
Team B;Agent_1;Tuesday;Evening;0-3 months;33;5.74;0.23;0.75;3.86;2;27.61;Low
Team B;Agent_1;Wednesday;Morning;0-3 months;44;9.05;0.1;0.89;4.52;0;28.58;High
Team B;Agent_1;Wednesday;Afternoon;3-6 months;75;6.5;0.1;0.89;4.79;1;26.75;Low
Team B;Agent_1;Wednesday;Evening;0-3 months;37;7.67;0.2;0.73;3.8;0;26.5;Low
Team B;Agent_1;Thursday;Morning;0-3 months;78;7.99;0.29;0.87;4.54;1;28.98;High
Team B;Agent_1;Thursday;Afternoon;0-3 months;38;7.13;0.24;0.85;3.7;2;29.7;High
Team B;Agent_1;Thursday;Evening;0-3 months;76;6.33;0.06;0.82;4.62;0;24.5;Low
Team B;Agent_1;Friday;Morning;3-6 months;57;6.9;0.13;0.76;3.93;2;29.35;High
Team B;Agent_1;Friday;Afternoon;6+ months;63;7.47;0.07;0.81;3.84;1;28.2;High
Team B;Agent_1;Friday;Evening;3-6 months;35;8.41;0.09;0.77;4.21;2;31.62;High
Team B;Agent_2;Monday;Morning;6+ months;53;7.54;0.12;0.85;4.61;2;30.31;High
Team B;Agent_2;Monday;Afternoon;6+ months;72;7.82;0.04;0.88;4.75;0;26.73;Low
Team B;Agent_2;Monday;Evening;6+ months;71;6.87;0.04;0.68;4.47;0;25.3;Low
Team B;Agent_2;Tuesday;Morning;6+ months;43;6.69;0.05;0.76;3.92;0;25.04;Low
Team B;Agent_2;Tuesday;Afternoon;0-3 months;63;8.36;0.21;0.83;4.51;0;27.54;Low
Team B;Agent_2;Tuesday;Evening;6+ months;39;8.69;0.07;0.64;4.48;1;30.04;High
Team B;Agent_2;Wednesday;Morning;0-3 months;65;7.26;0.07;0.8;4.42;0;25.89;Low
Team B;Agent_2;Wednesday;Afternoon;3-6 months;30;6.91;0.1;0.84;4;0;25.36;Low
Team B;Agent_2;Wednesday;Evening;6+ months;76;9.41;0.08;0.79;4.39;0;29.12;High
Team B;Agent_2;Thursday;Morning;0-3 months;58;7.59;0.26;0.79;4.59;1;28.38;High
Team B;Agent_2;Thursday;Afternoon;0-3 months;40;8.67;0.12;0.89;3.7;0;28;High
Team B;Agent_2;Thursday;Evening;6+ months;45;7.16;0.06;0.68;4.44;1;27.74;High
Team B;Agent_2;Friday;Morning;0-3 months;78;9.05;0.21;0.81;4.62;0;28.58;High
Team B;Agent_2;Friday;Afternoon;6+ months;75;7.34;0.09;0.75;4.54;0;26.01;Low
Team B;Agent_2;Friday;Evening;6+ months;32;6.31;0.04;0.72;3.5;0;24.46;Low
Team B;Agent_3;Monday;Morning;3-6 months;49;6.14;0.08;0.76;4.26;0;24.21;Low
Team B;Agent_3;Monday;Afternoon;6+ months;40;7.18;0.15;0.77;4.1;1;27.77;High
Team B;Agent_3;Monday;Evening;3-6 months;76;5.92;0.11;0.82;4.51;0;23.88;Low
Team B;Agent_3;Tuesday;Morning;3-6 months;53;8.26;0.04;0.77;4.24;0;27.39;Low
Team B;Agent_3;Tuesday;Afternoon;3-6 months;57;8.02;0.02;0.8;4.17;0;27.03;Low
Team B;Agent_3;Tuesday;Evening;3-6 months;62;9.28;0.13;0.69;3.92;3;34.92;High
Team B;Agent_3;Wednesday;Morning;0-3 months;79;7.85;0.08;0.88;4.27;1;28.78;High
Team B;Agent_3;Wednesday;Afternoon;3-6 months;70;7.63;0.11;0.88;4.43;2;30.44;High
Team B;Agent_3;Wednesday;Evening;3-6 months;36;8.15;0.1;0.8;4.13;0;27.22;Low
Team B;Agent_3;Thursday;Morning;0-3 months;43;9.48;0.07;0.76;3.82;0;29.22;High
Team B;Agent_3;Thursday;Afternoon;6+ months;48;8.02;0.11;0.82;4.22;1;29.03;High
Team B;Agent_3;Thursday;Evening;0-3 months;61;6.93;0.19;0.72;3.61;0;25.4;Low
Team B;Agent_3;Friday;Morning;0-3 months;44;7.24;0.27;0.86;4.47;0;25.86;Low
Team B;Agent_3;Friday;Afternoon;3-6 months;73;5.83;0.12;0.83;4.21;0;23.74;Low
Team B;Agent_3;Friday;Evening;3-6 months;63;8.58;0.14;0.71;3.86;0;27.87;High
Team B;Agent_4;Monday;Morning;6+ months;41;7.46;0.07;0.82;4.59;0;26.19;Low
Team B;Agent_4;Monday;Afternoon;6+ months;65;7.82;0.08;0.79;4.63;0;26.73;Low
Team B;Agent_4;Monday;Evening;3-6 months;54;7.21;0.11;0.62;4.35;0;25.82;Low
Team B;Agent_4;Tuesday;Morning;3-6 months;64;6.21;0.12;0.77;4.76;0;24.32;Low
Team B;Agent_4;Tuesday;Afternoon;0-3 months;32;8.66;0.16;0.8;4.08;1;29.99;High
Team B;Agent_4;Tuesday;Evening;0-3 months;34;8.15;0.23;0.64;3.72;0;27.22;Low
Team B;Agent_4;Wednesday;Morning;6+ months;66;6.11;0.09;0.87;4.42;0;24.16;Low
Team B;Agent_4;Wednesday;Afternoon;6+ months;35;7.24;0.06;0.76;4.19;2;29.86;High
Team B;Agent_4;Wednesday;Evening;0-3 months;64;7.3;0.16;0.83;3.91;0;25.95;Low
Team B;Agent_4;Thursday;Morning;0-3 months;71;7.02;0.22;0.75;3.92;3;31.53;High
Team B;Agent_4;Thursday;Afternoon;3-6 months;76;5.04;0.09;0.8;4.19;0;22.56;Low
Team B;Agent_4;Thursday;Evening;0-3 months;45;7.56;0.09;0.65;4.45;0;26.34;Low
Team B;Agent_4;Friday;Morning;0-3 months;76;7.62;0.09;0.85;4.59;2;30.43;High
Team B;Agent_4;Friday;Afternoon;3-6 months;79;8.17;0.13;0.87;3.65;1;29.26;High
Team B;Agent_4;Friday;Evening;6+ months;30;6.98;0.05;0.76;4.01;1;27.47;Low
Team B;Agent_5;Monday;Morning;0-3 months;57;7.84;0.13;0.88;4.79;1;28.76;High
Team B;Agent_5;Monday;Afternoon;0-3 months;60;6.39;0.23;0.88;4.03;0;24.58;Low
Team B;Agent_5;Monday;Evening;3-6 months;35;8.29;0.07;0.67;4.34;0;27.44;Low
Team B;Agent_5;Tuesday;Morning;3-6 months;36;7.11;0.09;0.81;4.21;0;25.66;Low
Team B;Agent_5;Tuesday;Afternoon;3-6 months;64;9.14;0.1;0.82;3.99;2;32.71;High
Team B;Agent_5;Tuesday;Evening;3-6 months;35;8.51;0.14;0.8;3.64;0;27.76;High
Team B;Agent_5;Wednesday;Morning;3-6 months;44;9.83;0.12;0.87;4.43;3;35.75;High
Team B;Agent_5;Wednesday;Afternoon;0-3 months;52;8.23;0.16;0.88;3.59;3;33.34;High
Team B;Agent_5;Wednesday;Evening;3-6 months;44;7.4;0.05;0.64;4.3;0;26.1;Low
Team B;Agent_5;Thursday;Morning;3-6 months;58;6.09;0.12;0.83;3.9;1;26.14;Low
Team B;Agent_5;Thursday;Afternoon;6+ months;78;6.44;0.13;0.87;3.74;0;24.66;Low
Team B;Agent_5;Thursday;Evening;6+ months;71;7.56;0.14;0.71;3.61;2;30.34;High
Team B;Agent_5;Friday;Morning;3-6 months;74;7.97;0.1;0.87;4.65;0;26.96;Low
Team B;Agent_5;Friday;Afternoon;0-3 months;39;7.64;0.09;0.8;4.68;1;28.46;High
Team B;Agent_5;Friday;Evening;3-6 months;56;6.78;0.13;0.71;4.37;0;25.17;Low
Team B;Agent_6;Monday;Morning;3-6 months;62;8.39;0.08;0.77;3.81;2;31.58;High
Team B;Agent_6;Monday;Afternoon;3-6 months;50;8.72;0.09;0.78;4.01;0;28.08;High
Team B;Agent_6;Monday;Evening;3-6 months;31;9.12;0.06;0.75;4.38;0;28.68;High
Team B;Agent_6;Tuesday;Morning;3-6 months;70;8.07;0.06;0.76;3.61;2;31.1;High
Team B;Agent_6;Tuesday;Afternoon;0-3 months;37;9.13;0.14;0.8;4.3;0;28.7;High
Team B;Agent_6;Tuesday;Evening;6+ months;34;7.7;0.06;0.75;4.38;0;26.55;Low
Team B;Agent_6;Wednesday;Morning;3-6 months;51;6.9;0.11;0.9;4.36;0;25.35;Low
Team B;Agent_6;Wednesday;Afternoon;6+ months;59;8.37;0.03;0.89;4.33;1;29.56;High
Team B;Agent_6;Wednesday;Evening;0-3 months;71;5.7;0.07;0.71;4.48;0;23.55;Low
Team B;Agent_6;Thursday;Morning;3-6 months;49;5.16;0.04;0.9;3.53;1;24.74;Low
Team B;Agent_6;Thursday;Afternoon;6+ months;30;7;0.13;0.83;4.31;0;25.5;Low
Team B;Agent_6;Thursday;Evening;6+ months;62;7.66;0.04;0.62;3.65;0;26.49;Low
Team B;Agent_6;Friday;Morning;3-6 months;70;9.97;0.03;0.89;4.22;0;29.96;High
Team B;Agent_6;Friday;Afternoon;3-6 months;52;7.95;0.09;0.83;4.01;0;26.92;Low
Team B;Agent_6;Friday;Evening;3-6 months;67;6.97;0.13;0.7;4.64;2;29.46;High
Team B;Agent_7;Monday;Morning;6+ months;45;8.08;0.06;0.75;3.7;0;27.12;Low
Team B;Agent_7;Monday;Afternoon;6+ months;47;6.98;0.1;0.87;3.67;2;29.47;High
Team B;Agent_7;Monday;Evening;6+ months;43;6.98;0.14;0.81;4.37;0;25.47;Low
Team B;Agent_7;Tuesday;Morning;3-6 months;33;8.43;0.04;0.89;4.21;3;33.64;High
Team B;Agent_7;Tuesday;Afternoon;3-6 months;42;8.23;0.02;0.75;4.28;0;27.34;Low
Team B;Agent_7;Tuesday;Evening;3-6 months;34;7.04;0.12;0.71;3.58;3;31.56;High
Team B;Agent_7;Wednesday;Morning;0-3 months;44;6.89;0.22;0.76;4.16;3;31.34;High
Team B;Agent_7;Wednesday;Afternoon;6+ months;68;7.2;0.05;0.78;4.35;2;29.8;High
Team B;Agent_7;Wednesday;Evening;6+ months;66;7.37;0.05;0.69;4.04;2;30.06;High
Team B;Agent_7;Thursday;Morning;6+ months;51;8.49;0.15;0.79;3.67;0;27.74;High
Team B;Agent_7;Thursday;Afternoon;6+ months;50;6.95;0.09;0.78;3.52;0;25.42;Low
Team B;Agent_7;Thursday;Evening;6+ months;47;7.89;0.03;0.61;3.98;0;26.84;Low
Team B;Agent_7;Friday;Morning;3-6 months;50;6.31;0.06;0.86;4.12;0;24.46;Low
Team B;Agent_7;Friday;Afternoon;3-6 months;67;7.46;0.07;0.89;3.67;0;26.19;Low
Team B;Agent_7;Friday;Evening;3-6 months;70;6.89;0.05;0.81;3.55;2;29.34;High
Team B;Agent_8;Monday;Morning;3-6 months;40;9.33;0.08;0.81;4.09;0;29;High
Team B;Agent_8;Monday;Afternoon;6+ months;52;6.31;0.12;0.83;4.38;0;24.46;Low
Team B;Agent_8;Monday;Evening;0-3 months;72;7.56;0.21;0.8;3.64;0;26.34;Low
Team B;Agent_8;Tuesday;Morning;3-6 months;69;6.15;0.07;0.87;4.36;0;24.22;Low
Team B;Agent_8;Tuesday;Afternoon;0-3 months;34;6.53;0.19;0.87;3.59;0;24.8;Low
Team B;Agent_8;Tuesday;Evening;0-3 months;77;8.11;0.15;0.65;3.66;1;29.16;High
Team B;Agent_8;Wednesday;Morning;6+ months;70;8.81;0.14;0.82;4.66;0;28.22;High
Team B;Agent_8;Wednesday;Afternoon;0-3 months;56;7.56;0.2;0.86;4.56;1;28.34;High
Team B;Agent_8;Wednesday;Evening;0-3 months;44;7.77;0.08;0.75;3.62;0;26.66;Low
Team B;Agent_8;Thursday;Morning;3-6 months;54;6.99;0.14;0.85;4.14;0;25.48;Low
Team B;Agent_8;Thursday;Afternoon;6+ months;61;6.74;0.06;0.88;3.84;0;25.11;Low
